name,degree,year
George Stevens,3,1923
Wesley Ruggles,3,1923
W. S. Van Dyke,3,1923
Corinne Griffith,3,1923
Marjorie Rambeau,3,1923
Clifton Webb,3,1923
William Dieterle,3,1923
Fredric March,3,1923
William Powell,3,1923
H. B. Warner,2,1923
May Robson,2,1923
Jeanne Eagels,2,1923
Emil Jannings,2,1923
Loretta Young,2,1923
Billie Burke,2,1923
Victor Schertzinger,2,1923
Ronald Colman,2,1923
Warner Baxter,2,1923
Norma Shearer,2,1923
Victor McLaglen,2,1923
George Arliss,2,1923
Alfred Hitchcock,2,1923
Marlene Dietrich,2,1923
Marie Dressler,1,1923
Robert Vaughn,1,1923
Edmund Gwenn,1,1923
Gladys Cooper,1,1923
Frank Morgan,1,1923
Clarence Brown,1,1923
William Holden,1,1923
Joseph Schildkraut,1,1923
Basil Rathbone,1,1923
Edward Norton,1,1923
Roland Young,1,1923
Jean Arthur,1,1923
Jack Cardiff,1,1923
Jack Oakie,1,1923
Helen Hayes,0,1923
Harry Beaumont,0,1923
Michael Curtiz,0,1923
George Miller,0,1923
Vittorio De Sica,0,1923
Chester Morris,0,1923
Elizabeth Taylor,0,1923
Sara Allgood,0,1923
Arthur Kennedy,0,1923
Sidney Franklin,0,1923
William A. Wellman,0,1923
Gladys George,0,1923
Peggy Wood,0,1923
Charles Boyer,0,1923
Norman Taurog,0,1923
Claude Rains,0,1923
Dame May Whitty,0,1923
Louis Calhern,0,1923
Stanley Holloway,0,1923
Carole Lombard,0,1923
Leo McCarey,0,1923
Paul Lukas,0,1923
Gene Lockhart,0,1923
Frank Capra,0,1923
James Gleason,0,1923
George Bancroft,0,1923
Una Merkel,0,1923
William Wellman,0,1923
Alfred Lunt,0,1923
Edna May Oliver,0,1923
Cecil B. DeMille,16,1924
Adolphe Menjou,15,1924
Gloria Swanson,14,1924
Betty Compson,14,1924
Wallace Beery,13,1924
Mary Pickford,12,1924
Donald Crisp,12,1924
Lillian Gish,11,1924
Irving Cummings,11,1924
Frank Lloyd,11,1924
Bessie Love,11,1924
Mary Astor,11,1924
Frank Borzage,10,1924
Charles Chaplin,10,1924
Sam Wood,10,1924
Richard Barthelmess,9,1924
Lionel Barrymore,8,1924
Herbert Brenon,8,1924
Erich von Stroheim,7,1924
King Vidor,7,1924
Alice Brady,7,1924
Lewis Stone,7,1924
Robert Z. Leonard,6,1924
Sessue Hayakawa,6,1924
Ernst Lubitsch,6,1924
Victor Fleming,6,1924
Norma Shearer,6,1924
Richard Dix,6,1924
Mervyn LeRoy,6,1924
William Powell,5,1924
John Ford,4,1924
George Stevens,4,1924
Ethel Barrymore,4,1924
Emil Jannings,4,1924
W. S. Van Dyke,4,1924
Corinne Griffith,4,1924
Ronald Colman,4,1924
Warner Baxter,4,1924
William Dieterle,4,1924
Louise Dresser,4,1924
Jane Darwell,3,1924
Wesley Ruggles,3,1924
Clarence Brown,3,1924
Marjorie Rambeau,3,1924
Clifton Webb,3,1924
George Arliss,3,1924
Fredric March,3,1924
H. B. Warner,2,1924
May Robson,2,1924
Jeanne Eagels,2,1924
Loretta Young,2,1924
Billie Burke,2,1924
Frank Morgan,2,1924
Victor Schertzinger,2,1924
Victor McLaglen,2,1924
Alfred Hitchcock,2,1924
Jean Arthur,2,1924
Marlene Dietrich,2,1924
Jack Oakie,2,1924
Edna May Oliver,2,1924
Clark Gable,2,1924
Harry Beaumont,1,1924
Marie Dressler,1,1924
Robert Vaughn,1,1924
Edmund Gwenn,1,1924
Gladys Cooper,1,1924
William Holden,1,1924
Joseph Schildkraut,1,1924
Basil Rathbone,1,1924
Edward Norton,1,1924
Carole Lombard,1,1924
Roland Young,1,1924
Jack Cardiff,1,1924
Alfred Lunt,1,1924
Gregory La Cava,1,1924
Lynn Fontanne,1,1924
Elisabeth Bergner,1,1924
Helen Hayes,0,1924
Michael Curtiz,0,1924
George Miller,0,1924
Vittorio De Sica,0,1924
Chester Morris,0,1924
Elizabeth Taylor,0,1924
Sara Allgood,0,1924
Arthur Kennedy,0,1924
Sidney Franklin,0,1924
William A. Wellman,0,1924
Gladys George,0,1924
Peggy Wood,0,1924
Charles Boyer,0,1924
Norman Taurog,0,1924
Claude Rains,0,1924
Dame May Whitty,0,1924
Louis Calhern,0,1924
Stanley Holloway,0,1924
Leo McCarey,0,1924
Paul Lukas,0,1924
