source,target,year
Lewis Stone,Walter Pidgeon,1926
Bessie Love,Herbert Brenon,1926
Mary Astor,Betty Compson,1926
Mary Astor,Frank Lloyd,1926
Betty Compson,Frank Lloyd,1926
Corinne Griffith,Robert Z. Leonard,1926
Richard Dix,Gregory La Cava,1926
Warner Baxter,William Powell,1926
Janet Gaynor,Victor Schertzinger,1926
Corinne Griffith,Marjorie Rambeau,1926
Carole Lombard,Howard Hawks,1926
Janet Gaynor,Irving Cummings,1926
Robert Ryan,Harry Beaumont,1926
Walter Pidgeon,Frank Borzage,1926
Brian Donlevy,Wesley Ruggles,1926
Gary Cooper,William A. Wellman,1927
Janet Gaynor,Frank Borzage,1927
Alfred Hitchcock,Alfred Hitchcock,1927
Mary Astor,Lewis Milestone,1927
Emil Jannings,Victor Fleming,1927
Joseph Schildkraut,H. B. Warner,1927
Joseph Schildkraut,Cecil B. DeMille,1927
H. B. Warner,Cecil B. DeMille,1927
H. B. Warner,Herbert Brenon,1927
Norma Shearer,Ernst Lubitsch,1927
Ted Wilde,Lewis Milestone,1927
George Bancroft,Mary Astor,1927
George Bancroft,Victor Fleming,1927
Mary Astor,Victor Fleming,1927
Lillian Gish,John Wayne,1927
Richard Barthelmess,John Wayne,1927
Gary Cooper,Frank Lloyd,1927
Claudette Colbert,Frank Capra,1927
Sylvia Sidney,Barbara Stanwyck,1927
Sylvia Sidney,Ann Sothern,1927
Barbara Stanwyck,Ann Sothern,1927
Mary Pickford,Carole Lombard,1927
Gary Cooper,William Powell,1927
William Demarest,Michael Curtiz,1927
Norma Shearer,Robert Z. Leonard,1927
Bessie Love,Donald Crisp,1927
Bessie Love,May Robson,1927
William Powell,Frank Morgan,1927
May Robson,Bessie Love,1927
Richard Dix,Gregory La Cava,1927
Carole Lombard,Donald Crisp,1927
Warner Baxter,Herbert Brenon,1927
Betty Compson,Walter Lang,1927
Richard Dix,Gregory La Cava,1927
William Powell,Howard Hawks,1927
Mary Astor,Mervyn LeRoy,1927
William Dieterle,William Dieterle,1927
Walter Pidgeon,Victor Schertzinger,1927
Warner Baxter,Irving Cummings,1928
Gloria Swanson,Lionel Barrymore,1928
Joan Crawford,Harry Beaumont,1928
Robert Z. Leonard,King Vidor,1928
Robert Z. Leonard,King Vidor,1928
King Vidor,King Vidor,1928
Emil Jannings,Lewis Stone,1928
Emil Jannings,Ernst Lubitsch,1928
Lewis Stone,Ernst Lubitsch,1928
Erich von Stroheim,Erich von Stroheim,1928
William Dieterle,William Dieterle,1928
Nancy Carroll,Victor Fleming,1928
Victor McLaglen,John Wayne,1928
Victor McLaglen,John Ford,1928
John Wayne,John Ford,1928
John Wayne,John Ford,1928
Victor McLaglen,John Wayne,1928
Victor McLaglen,John Ford,1928
John Wayne,John Ford,1928
