name,year
Cecil B. DeMille,1927
Herbert Brenon,1927
Norma Shearer,1927
Ernst Lubitsch,1927
Ted Wilde,1927
George Bancroft,1927
Leo McCarey,1927
Gloria Swanson,1927
Lillian Gish,1927
John Wayne,1927
Frank Lloyd,1927
Walter Pidgeon,1927
Wallace Beery,1927
Lionel Barrymore,1927
Joan Crawford,1927
Greta Garbo,1927
Claudette Colbert,1927
Frank Capra,1927
Marlene Dietrich,1927
Sylvia Sidney,1927
Barbara Stanwyck,1927
Ann Sothern,1927
Adolphe Menjou,1927
Robert Z. Leonard,1927
William Powell,1927
Louise Dresser,1927
Walter Brennan,1927
Jean Arthur,1927
Mary Pickford,1927
Carole Lombard,1927
John Ford,1927
William Demarest,1927
Michael Chekhov,1927
Michael Curtiz,1927
Marie Dressler,1927
Corinne Griffith,1927
Mickey Rooney,1927
Brian Aherne,1927
Vittorio De Sica,1927
Jeanne Eagels,1927
Howard Hawks,1927
Bessie Love,1927
Donald Crisp,1927
Ronald Colman,1927
Warner Baxter,1927
Robert Ryan,1927
Sam Wood,1927
Elsa Lanchester,1927
Frank Morgan,1927
Gregory La Cava,1927
W. S. Van Dyke,1927
Ed Wynn,1927
William Dieterle,1927
Victor McLaglen,1927
Elisabeth Bergner,1927
Richard Dix,1927
William Wyler,1927
Betty Compson,1927
Walter Lang,1927
Hermione Baddeley,1927
Mervyn LeRoy,1927
Irving Cummings,1927
Nancy Carroll,1927
Victor Schertzinger,1927
Harry Beaumont,1927
Jean Renoir,1927
Wesley Ruggles,1927
Warner Baxter,1928
Irving Cummings,1928
Lewis Milestone,1928
Lillian Gish,1928
Louise Dresser,1928
Gloria Swanson,1928
Lionel Barrymore,1928
Betty Compson,1928
King Vidor,1928
Alfred Hitchcock,1928
Ted Wilde,1928
Joan Crawford,1928
Harry Beaumont,1928
Robert Z. Leonard,1928
Leo McCarey,1928
Donald Crisp,1928
Emil Jannings,1928
Lewis Stone,1928
Ernst Lubitsch,1928
Erich von Stroheim,1928
William A. Wellman,1928
Cecil B. DeMille,1928
William Dieterle,1928
Nancy Carroll,1928
Victor Fleming,1928
Frank Capra,1928
Victor McLaglen,1928
John Wayne,1928
John Ford,1928
Loretta Young,1928
Herbert Brenon,1928
Janet Gaynor,1928
Michael Curtiz,1928
Richard Barthelmess,1928
Clarence Brown,1928
Marie Dressler,1928
Wallace Beery,1928
William Demarest,1928
Howard Hawks,1928
Gary Cooper,1928
Norma Shearer,1928
Elsa Lanchester,1928
Greta Garbo,1928
Brian Aherne,1928
W. S. Van Dyke,1928
Humphrey Bogart,1928
Helen Hayes,1928
Paul Lukas,1928
Bessie Love,1928
William Powell,1928
Carole Lombard,1928
Gregory La Cava,1928
William Wyler,1928
Mickey Rooney,1928
Vittorio De Sica,1928
Frank Lloyd,1928
Corinne Griffith,1928
Ruth Chatterton,1928
Jean Arthur,1928
Ronald Colman,1928
Hermione Baddeley,1928
Joseph Schildkraut,1928
May Robson,1928
Mary Astor,1928
Victor Schertzinger,1928
Adolphe Menjou,1928
Walter Pidgeon,1928
Richard Dix,1928
Jean Renoir,1928
Sam Wood,1928
Robert Ryan,1928
Walter Lang,1928
Mischa Auer,1928
Helen Hunt,1928
Jack Oakie,1928
H. B. Warner,1928
Stuart Erwin,1928
Marlene Dietrich,1928
Walter Brennan,1928
Anna Magnani,1928
Mervyn LeRoy,1928
Wesley Ruggles,1928
James Gleason,1928
Bessie Love,1929
James Gleason,1929
Harry Beaumont,1929
George Arliss,1929
Maurice Chevalier,1929
Ernst Lubitsch,1929
Ronald Colman,1929
Ann Harding,1929
Wesley Ruggles,1929
Jeanne Eagels,1929
Corinne Griffith,1929
H. B. Warner,1929
Marie Dressler,1929
Frank Lloyd,1929
Norma Shearer,1929
Lewis Stone,1929
Gloria Swanson,1929
Victor McLaglen,1929
John Wayne,1929
John Ford,1929
Charles Laughton,1929
Ray Milland,1929
Carole Lombard,1929
Sara Allgood,1929
Alfred Hitchcock,1929
Leo McCarey,1929
Marlene Dietrich,1929
King Vidor,1929
Joseph Schildkraut,1929
Joan Crawford,1929
Jean Arthur,1929
Erich von Stroheim,1929
Betty Compson,1929
Gary Cooper,1929
Victor Fleming,1929
Walter Huston,1929
Ethel Waters,1929
Victor Schertzinger,1929
Paulette Goddard,1929
Stuart Erwin,1929
Janet Gaynor,1929
Lionel Barrymore,1929
Frank Borzage,1929
Wallace Beery,1929
Jack Oakie,1929
William A. Wellman,1929
Nancy Kelly,1929
Claudette Colbert,1929
Loretta Young,1929
Paul Muni,1929
Fredric March,1929
Raymond Massey,1929
Ruth Chatterton,1929
Charles Bickford,1929
Cecil B. DeMille,1929
John Huston,1929
William Wyler,1929
Lee Tracy,1929
Robert Ryan,1929
Warner Baxter,1929
Irving Cummings,1929
Roland Young,1929
Margaret Wycherly,1929
William Powell,1929
Barbara Stanwyck,1929
Herbert Brenon,1929
Jackie Cooper,1929
Basil Rathbone,1929
Edna May Oliver,1929
Clarence Brown,1929
Frank Capra,1929
Mervyn LeRoy,1929
Michael Curtiz,1929
Louise Dresser,1929
Brian Donlevy,1929
Nancy Carroll,1929
Stanley Holloway,1929
Greta Garbo,1929
Lew Ayres,1929
Walter Brennan,1929
Donald Crisp,1929
Howard Hawks,1929
Mickey Rooney,1929
Gregory La Cava,1929
Richard Barthelmess,1929
Emil Jannings,1929
Lewis Milestone,1929
John Gielgud,1929
Mary Pickford,1929
Chester Morris,1929
Joseph L. Mankiewicz,1929
Norman Taurog,1929
Walter Pidgeon,1929
Mary Astor,1929
Dean Jagger,1929
Richard Dix,1929
Carol Reed,1929
Elisabeth Bergner,1929
Eve Arden,1929
Paul Lukas,1929
Peggy Wood,1929
Adolphe Menjou,1929
Mischa Auer,1929
William Gargan,1929
Sam Wood,1929
Walter Lang,1929
William Demarest,1929
Jack Clayton,1929
William Holden,1929
William Dieterle,1929
Michael Chekhov,1929
Charles Boyer,1929
Robert Z. Leonard,1929
Sylvia Sidney,1929
Chester Morris,1930
Wallace Beery,1930
Lewis Stone,1930
Norma Shearer,1930
Robert Z. Leonard,1930
Gary Cooper,1930
Marlene Dietrich,1930
Adolphe Menjou,1930
Maurice Chevalier,1930
Claudette Colbert,1930
Fredric March,1930
Lucile Watson,1930
George Cukor,1930
Nancy Carroll,1930
Paul Lukas,1930
Ruth Chatterton,1930
Greta Garbo,1930
Clarence Brown,1930
Marie Dressler,1930
Marjorie Rambeau,1930
Ann Harding,1930
Mary Astor,1930
Walter Huston,1930
Una Merkel,1930
Richard Barthelmess,1930
Howard Hawks,1930
Mischa Auer,1930
Emil Jannings,1930
Alfred Hitchcock,1930
Jackie Cooper,1930
Bing Crosby,1930
John Wayne,1930
Jean Arthur,1930
Mervyn LeRoy,1930
Frank Morgan,1930
Ginger Rogers,1930
Sam Wood,1930
Lew Ayres,1930
Lewis Milestone,1930
Lillian Gish,1930
King Vidor,1930
Victor Fleming,1930
Warner Baxter,1930
Betty Compson,1930
Donald Crisp,1930
Rex Harrison,1930
Charles Bickford,1930
Stuart Erwin,1930
John Ford,1930
Lee Tracy,1930
Robert Siodmak,1930
Grace Moore,1930
Janet Gaynor,1930
Spencer Tracy,1930
Humphrey Bogart,1930
Michael Curtiz,1930
Walter Pidgeon,1930
Loretta Young,1930
Joan Blondell,1930
James Gleason,1930
Roland Young,1930
Cecil B. DeMille,1930
Joan Crawford,1930
Harry Beaumont,1930
William Powell,1930
Bessie Love,1930
Ronald Colman,1930
Edna May Oliver,1930
Ernst Lubitsch,1930
Lionel Barrymore,1930
Wesley Ruggles,1930
Miriam Hopkins,1930
Carole Lombard,1930
Jack Oakie,1930
H. B. Warner,1930
Frank Borzage,1930
Basil Rathbone,1930
Louise Dresser,1930
William Wyler,1930
Jane Darwell,1930
Laurence Olivier,1930
Brian Aherne,1930
Frank Capra,1930
Leo McCarey,1930
Barbara Stanwyck,1930
William Holden,1930
Judy Garland,1930
James Cagney,1930
Charles Laughton,1930
Mickey Rooney,1930
Nick Adams,1930
Merle Oberon,1930
Ted Wilde,1930
Clark Gable,1930
Herbert Brenon,1930
Erich von Stroheim,1930
Victor McLaglen,1930
Irving Cummings,1930
Irene Dunne,1930
Corinne Griffith,1930
William A. Wellman,1930
Walter Brennan,1930
Richard Dix,1930
Frank Lloyd,1930
William Dieterle,1930
Gloria Swanson,1930
George Arliss,1930
Michael Chekhov,1930
Jean Renoir,1930
Ray Milland,1930
Victor Schertzinger,1930
Norman Taurog,1930
Ed Wynn,1930
William Gargan,1930
Walter Lang,1930
Joseph Schildkraut,1930
J. Carrol Naish,1930
Anatole Litvak,1930
Hermione Baddeley,1930
Carol Reed,1930
Jackie Cooper,1931
Norman Taurog,1931
Marjorie Rambeau,1931
Frank Borzage,1931
Wallace Beery,1931
King Vidor,1931
Aline MacMahon,1931
Mervyn LeRoy,1931
Maurice Chevalier,1931
Claudette Colbert,1931
Miriam Hopkins,1931
Ernst Lubitsch,1931
James Cagney,1931
Joan Blondell,1931
William A. Wellman,1931
Norma Shearer,1931
Lionel Barrymore,1931
Clark Gable,1931
James Gleason,1931
Clarence Brown,1931
Fredric March,1931
Alfred Lunt,1931
Lynn Fontanne,1931
Roland Young,1931
Helen Hayes,1931
Lewis Stone,1931
Edmund Gwenn,1931
Herbert Ross,1931
George Bancroft,1931
Alfred Hitchcock,1931
Ronald Colman,1931
John Ford,1931
Frank Capra,1931
Richard Dix,1931
Irene Dunne,1931
Edna May Oliver,1931
Wesley Ruggles,1931
Stuart Erwin,1931
Mischa Auer,1931
Sessue Hayakawa,1931
Loretta Young,1931
Bette Davis,1931
Una Merkel,1931
Ralph Bellamy,1931
Ray Milland,1931
Spencer Tracy,1931
Greta Garbo,1931
Adolphe Menjou,1931
Lewis Milestone,1931
Louis Calhern,1931
Donald Crisp,1931
Richard Barthelmess,1931
William Dieterle,1931
Marlene Dietrich,1931
Victor McLaglen,1931
Sylvia Sidney,1931
Beulah Bondi,1931
Robert Z. Leonard,1931
Joan Crawford,1931
Gary Cooper,1931
Warner Baxter,1931
Barbara Stanwyck,1931
Jack Oakie,1931
Humphrey Bogart,1931
Janet Gaynor,1931
John Wayne,1931
Jean Renoir,1931
Walter Pidgeon,1931
Michael Curtiz,1931
Ginger Rogers,1931
Paul Lukas,1931
Harry Beaumont,1931
Carole Lombard,1931
J. Carrol Naish,1931
Charles Bickford,1931
Cecil B. DeMille,1931
Gloria Swanson,1931
Leo McCarey,1931
Walter Huston,1931
Howard Hawks,1931
Lotte Lenya,1931
George Arliss,1931
Laurence Olivier,1931
Melvyn Douglas,1931
Lew Ayres,1931
George Cukor,1931
Mary Pickford,1931
William Powell,1931
Victor Schertzinger,1931
Otto Preminger,1931
Joseph Schildkraut,1931
Chester Morris,1931
Raymond Massey,1931
Mary Astor,1931
Sam Wood,1931
Brian Aherne,1931
Charles Laughton,1931
Lawrence Tibbett,1931
Ann Harding,1931
Frank Lloyd,1931
Jane Darwell,1931
Nancy Carroll,1931
