index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
32981,2013,ACTOR IN A LEADING ROLE,Joaquin Phoenix,The Master,False,nm0001618,1974,0,"actor,producer,soundtrack",39,True,2021,47,M
32982,2020,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Joker,True,nm0001618,1974,0,"actor,producer,soundtrack",46,True,2021,47,M
33061,2002,ACTOR IN A LEADING ROLE,Will Smith,Ali,False,nm0000226,1968,0,"music_department,actor,producer",34,True,2021,53,M
33140,2007,ACTOR IN A LEADING ROLE,Will Smith,The Pursuit of Happyness,False,nm0000226,1968,0,"music_department,actor,producer",39,True,2021,53,M
33219,2002,ACTOR IN A LEADING ROLE,Tom Wilkinson,In the Bedroom,False,nm0929489,1948,0,"actor,soundtrack",54,True,2021,73,M
33241,2008,ACTOR IN A SUPPORTING ROLE,Tom Wilkinson,Michael Clayton,False,nm0929489,1948,0,"actor,soundtrack",60,True,2021,73,M
33263,2002,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,True,nm0000980,1949,0,"actor,writer,soundtrack",53,True,2021,72,M
33264,2002,ACTOR IN A SUPPORTING ROLE,Ethan Hawke,Training Day,False,nm0000160,1970,0,"actor,writer,soundtrack",32,True,2021,51,M
33265,2015,ACTOR IN A SUPPORTING ROLE,Ethan Hawke,Boyhood,False,nm0000160,1970,0,"actor,writer,soundtrack",45,True,2021,51,M
33558,2003,ACTOR IN A LEADING ROLE,Adrien Brody,The Pianist,True,nm0004778,1973,0,"actor,producer,composer",30,True,2021,48,M
33559,2003,ACTOR IN A SUPPORTING ROLE,Chris Cooper,Adaptation,True,nm0177933,1951,0,"actor,producer,soundtrack",52,True,2021,70,M
33616,2003,ACTOR IN A SUPPORTING ROLE,John C. Reilly,Chicago,False,nm0000604,1965,0,"actor,writer,producer",38,True,2021,56,M
33735,2004,ACTOR IN A LEADING ROLE,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False,nm0000136,1963,0,"actor,producer,soundtrack",41,True,2021,58,M
33736,2005,ACTOR IN A LEADING ROLE,Johnny Depp,Finding Neverland,False,nm0000136,1963,0,"actor,producer,soundtrack",42,True,2021,58,M
33737,2008,ACTOR IN A LEADING ROLE,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,False,nm0000136,1963,0,"actor,producer,soundtrack",45,True,2021,58,M
33738,2004,ACTOR IN A LEADING ROLE,Bill Murray,Lost in Translation,False,nm0000195,1950,0,"actor,soundtrack,writer",54,True,2021,71,M
33772,2004,ACTOR IN A SUPPORTING ROLE,Alec Baldwin,The Cooler,False,nm0000285,1958,0,"actor,producer,soundtrack",46,True,2021,63,M
33774,2004,ACTOR IN A SUPPORTING ROLE,Djimon Hounsou,In America,False,nm0005023,1964,0,"actor,producer,director",40,True,2021,57,M
33775,2007,ACTOR IN A SUPPORTING ROLE,Djimon Hounsou,Blood Diamond,False,nm0005023,1964,0,"actor,producer,director",43,True,2021,57,M
