index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
6864,1960,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,Pillow Talk,False,nm0728812,1902,1969,"actress,soundtrack",58,False,2021,0,F
6865,1963,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,Birdman of Alcatraz,False,nm0728812,1902,1969,"actress,soundtrack",61,False,2021,0,F
7170,1952,ACTRESS,Shelley Winters,A Place in the Sun,False,nm0001859,1920,2006,"actress,soundtrack,producer",32,False,2021,0,F
7171,1960,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,The Diary of Anne Frank,True,nm0001859,1920,2006,"actress,soundtrack,producer",40,False,2021,0,F
7172,1966,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,A Patch of Blue,True,nm0001859,1920,2006,"actress,soundtrack,producer",46,False,2021,0,F
7173,1973,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,The Poseidon Adventure,False,nm0001859,1920,2006,"actress,soundtrack,producer",53,False,2021,0,F
7174,1952,ACTRESS IN A SUPPORTING ROLE,Joan Blondell,The Blue Veil,False,nm0000951,1906,1979,"actress,soundtrack",46,False,2021,0,F
7175,1952,ACTRESS IN A SUPPORTING ROLE,Mildred Dunnock,Death of a Salesman,False,nm0242972,1901,1991,actress,51,False,2021,0,F
7176,1957,ACTRESS IN A SUPPORTING ROLE,Mildred Dunnock,Baby Doll,False,nm0242972,1901,1991,actress,56,False,2021,0,F
7177,1952,ACTRESS IN A SUPPORTING ROLE,Lee Grant,Detective Story,False,nm0335519,1925,0,"actress,director,producer",27,True,2021,96,F
7189,1971,ACTRESS IN A SUPPORTING ROLE,Lee Grant,The Landlord,False,nm0335519,1925,0,"actress,director,producer",46,True,2021,96,F
7201,1976,ACTRESS IN A SUPPORTING ROLE,Lee Grant,Shampoo,True,nm0335519,1925,0,"actress,director,producer",51,True,2021,96,F
7213,1977,ACTRESS IN A SUPPORTING ROLE,Lee Grant,Voyage of the Damned,False,nm0335519,1925,0,"actress,director,producer",52,True,2021,96,F
7225,1952,ACTRESS IN A SUPPORTING ROLE,Kim Hunter,A Streetcar Named Desire,True,nm0001375,1922,2002,"actress,soundtrack",30,False,2021,0,F
7553,1953,ACTRESS,Shirley Booth,"Come Back, Little Sheba",True,nm0095804,1898,1992,"actress,soundtrack",55,False,2021,0,F
